,time,target,text
0,10/29/2019 22:56,0,"RT @JulianCastro: My grandmother was a domestic worker. She cleaned other people's houses so we could someday own our own.\n\nYesterday, work\xe2\x80\xa6"""
1,10/29/2019 22:56,1,"RT @MayorOfLA: #GettyFire update | 8AM:\n\n- 5% containment \n- 658 acres burned\n- 1,100+ firefighters from @LAFD and partner agencies on scen\xe2\x80\xa6'"
2,10/29/2019 22:56,1,Getty Fire Ignited by Power Line in Sepulveda Pass  https://t.co/F8TXgJVwe4'
3,10/29/2019 22:56,1,"RT @latimes: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California throu\xe2\x80\xa6'"
4,10/29/2019 22:56,1,Arson investigators from the Los Angeles Fire Department said it appeared a tree branch snapped-off by intense wind\xe2\x80\xa6 https://t.co/WVEZZ3kl8k'
5,10/29/2019 22:55,1,RT @lacerci65: Watch \xe2\x80\x93 Evacuations Ordered: Brush Fire Threatens Getty Center Drive in Heart of L.A. https://t.co/FZitscpc5p via @Breitbart\xe2\x80\xa6'
6,10/29/2019 22:55,1,"RT @cmonstah: \xe2\x80\x9cWhat can I do?\xe2\x80\x9d he said. \xe2\x80\x9cI need the money, I need to work.\xe2\x80\x9d\n\nGetty fire: Housekeepers and gardeners go to work despite the\xe2\x80\xa6'"
7,10/29/2019 22:55,1,Edify TV: Animals Evacuated From Getty Fire - Westside Today - https://t.co/3MJaXA4LbE'
8,10/29/2019 22:55,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/C9naB1nd8X https://t.co/CLapHATCCT'
9,10/29/2019 22:55,0,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/5b9NxFjskk https://t.co/8SioqH0ykz'
10,10/29/2019 22:55,1,"RT @CBSEveningNews: As the #KincadeFire continues to ravage Northern California\xe2\x80\x99s Sonoma County, fire crews are bracing for some of the str\xe2\x80\xa6'"
11,10/29/2019 22:55,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/uutEICv7Qm https://t.co/qxPBxiig7T'
12,10/29/2019 22:55,0,RT @SurlyAmy: \xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx'
13,10/29/2019 22:55,0,Up to 20 million \xf0\x9f\xa4\x94\xf0\x9f\x98\xa2 https://t.co/nzffmAsMxC'
14,10/29/2019 22:55,1,"RT @gayandsweaty: ""______ has marked themselves safe from the Getty Fire"" \n\nMe: Bitch you live DOWNTOWN'"
15,10/29/2019 22:54,1,"Getty fire: Punishing Santa Ana winds, the strongest of the season, build as blaze grows https://t.co/BpTwrYkIrS'"
16,10/29/2019 22:54,1,"RT @NBCNightlyNews: NOW on @NBCNightlyNews: @LesterHoltNBC is in Los Angeles, where firefighters are continuing to fight the Getty Fire wit\xe2\x80\xa6'"
17,10/29/2019 22:54,1,"RT @shelbygrad: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California th\xe2\x80\xa6'"
18,10/29/2019 22:54,1,"RT @SenateRepCaucus: If @GavinNewsom can direct $5b to study \xe2\x80\x98how to get people out of their cars\xe2\x80\x99 and build bike lanes, or direct $2b to t\xe2\x80\xa6'"
19,10/29/2019 22:54,1,"RT @thedailybeast: Southern California's Getty fire destroys 12 homes https://t.co/gIYVhA7YcF"""
20,10/29/2019 22:53,1,RT @Markfry809: We are witnessing apocalyptic scenes of destruction in California while this disgraceful fucking fraud of a President ignor\xe2\x80\xa6'
21,10/29/2019 22:53,1,ICYMI record-setting climate change wind bellows are about to literally fan the flames of a catastrophic fire named\xe2\x80\xa6 https://t.co/nowMAYsNpy'
22,10/29/2019 22:53,1,I like how many of my friends that never leave Lincoln heights/Chinatown marked themselves safe in the Getty fire.'
23,10/29/2019 22:53,0,"RT @RoseAnnDeMoro: Reason #1,398,898,989 to loath the #1%\n\nNo one called them, the 1% fled while they showed up for work.  Invisible class.\xe2\x80\xa6'"
24,10/29/2019 22:53,1,"RT @ABC7: #BREAKING Getty Fire update: 12 homes destroyed, 5 damaged, containment now at 15% as crews prepare for strong Santa Ana winds\nht\xe2\x80\xa6'"
25,10/29/2019 22:53,1,"RT @ladailynews: #GettyFire update as of 3:30 pm:\n-Wildfire has grown to 656 acres, 15% contained\n-12 homes destroyed, 5 damaged\n-Officials\xe2\x80\xa6'"
26,10/29/2019 22:52,1,"""We have the most significant wind event in Los Angeles of the year that will be starting this evening around 11 o&amp;\xe2\x80\xa6 https://t.co/18pDf0pPC2'"
27,10/29/2019 22:52,1,"RT @latimes: Officials worry the high Santa Ana winds may blow Getty fire embers miles away from the body of the blaze, igniting fires and\xe2\x80\xa6'"
28,10/29/2019 22:52,1,"RT @billmckibben: Is it a metaphor that wildfire is ""licking at the edges"" of the Getty Museum, which houses some of human culture\'s great\xe2\x80\xa6'"
29,10/29/2019 22:52,1,"RT @shelbygrad: THE TRUEST STORY YOU WILL READ ABOUT THE LA FIRE &gt;&gt;&gt;  Housekeepers, gardener in tony Brentwood go to work despite the flame\xe2\x80\xa6'"
30,10/29/2019 22:52,1,"RT @NYTNational: As the weather worsens, the Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire\xe2\x80\xa6'"
31,10/29/2019 22:52,1,As of 2:40 pm PT. Yikes and Yikes. Heads up all my California family/friends and just everyone.\nPS  LA Times has te\xe2\x80\xa6 https://t.co/5yAfIKg5RW'
32,10/29/2019 22:52,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight\xc2\xa0\xc2\xa0LAistView full coverage on Google News https://t.co/1azTzxEH83'
33,10/29/2019 22:52,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight - LAist https://t.co/lfkdw41Uv3'
34,10/29/2019 22:51,0,\xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx'
35,10/29/2019 22:51,1,"As wildfire rages, LA's 'fire proof' Getty Museum sees no risk to art #US | #RTGNews"""
36,10/29/2019 22:51,1,"""As of early this week the Los Angeles Department of Water and Power, that owns the pole closest to the start of th\xe2\x80\xa6 https://t.co/v0rKk9tTFd'"
37,10/29/2019 22:51,1,RT @LACOFD: READY! SET! GO!\nPreparation and prevention go hand-in-hand.  As we prepare for another Santa Ana wind event and assist LAFD wit\xe2\x80\xa6'
38,10/29/2019 22:51,1,RT @TMZ: John Cena Donating $500k to Help Battle California Fires https://t.co/ARV4buKmBm'
