,target,text,time,sia_positive,sia_negative,sia_neutral,sia_compound
0,0,"RT @JulianCastro: My grandmother was a domestic worker. She cleaned other people's houses so we could someday own our own.\n\nYesterday, work\xe2\x80\xa6""",10/29/2019 22:56,0.0,0.0,1.0,0.0
1,1,"RT @MayorOfLA: #GettyFire update | 8AM:\n\n- 5% containment \n- 658 acres burned\n- 1,100+ firefighters from @LAFD and partner agencies on scen\xe2\x80\xa6'",10/29/2019 22:56,0.0,0.0,1.0,0.0
2,1,Getty Fire Ignited by Power Line in Sepulveda Pass  https://t.co/F8TXgJVwe4',10/29/2019 22:56,0.0,0.211,0.789,-0.34
3,1,"RT @latimes: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California throu\xe2\x80\xa6'",10/29/2019 22:56,0.0,0.202,0.798,-0.5859
4,1,Arson investigators from the Los Angeles Fire Department said it appeared a tree branch snapped-off by intense wind\xe2\x80\xa6 https://t.co/WVEZZ3kl8k',10/29/2019 22:56,0.066,0.122,0.812,-0.2732
5,1,RT @lacerci65: Watch \xe2\x80\x93 Evacuations Ordered: Brush Fire Threatens Getty Center Drive in Heart of L.A. https://t.co/FZitscpc5p via @Breitbart\xe2\x80\xa6',10/29/2019 22:55,0.0,0.227,0.773,-0.6124
6,1,"RT @cmonstah: \xe2\x80\x9cWhat can I do?\xe2\x80\x9d he said. \xe2\x80\x9cI need the money, I need to work.\xe2\x80\x9d\n\nGetty fire: Housekeepers and gardeners go to work despite the\xe2\x80\xa6'",10/29/2019 22:55,0.0,0.098,0.902,-0.34
7,1,Edify TV: Animals Evacuated From Getty Fire - Westside Today - https://t.co/3MJaXA4LbE',10/29/2019 22:55,0.0,0.211,0.789,-0.34
8,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/C9naB1nd8X https://t.co/CLapHATCCT',10/29/2019 22:55,0.0,0.282,0.718,-0.6705
9,0,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/5b9NxFjskk https://t.co/8SioqH0ykz',10/29/2019 22:55,0.0,0.282,0.718,-0.6705
10,1,"RT @CBSEveningNews: As the #KincadeFire continues to ravage Northern California\xe2\x80\x99s Sonoma County, fire crews are bracing for some of the str\xe2\x80\xa6'",10/29/2019 22:55,0.0,0.107,0.893,-0.34
11,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/uutEICv7Qm https://t.co/qxPBxiig7T',10/29/2019 22:55,0.0,0.282,0.718,-0.6705
12,0,RT @SurlyAmy: \xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx',10/29/2019 22:55,0.231,0.0,0.769,0.2023
13,0,Up to 20 million \xf0\x9f\xa4\x94\xf0\x9f\x98\xa2 https://t.co/nzffmAsMxC',10/29/2019 22:55,0.0,0.0,1.0,0.0
14,1,"RT @gayandsweaty: ""______ has marked themselves safe from the Getty Fire"" \n\nMe: Bitch you live DOWNTOWN'",10/29/2019 22:55,0.131,0.281,0.588,-0.5106
15,1,"Getty fire: Punishing Santa Ana winds, the strongest of the season, build as blaze grows https://t.co/BpTwrYkIrS'",10/29/2019 22:54,0.132,0.274,0.594,-0.4767
16,1,"RT @NBCNightlyNews: NOW on @NBCNightlyNews: @LesterHoltNBC is in Los Angeles, where firefighters are continuing to fight the Getty Fire wit\xe2\x80\xa6'",10/29/2019 22:54,0.0,0.217,0.783,-0.6124
17,1,"RT @shelbygrad: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California th\xe2\x80\xa6'",10/29/2019 22:54,0.0,0.202,0.798,-0.5859
18,1,"RT @SenateRepCaucus: If @GavinNewsom can direct $5b to study \xe2\x80\x98how to get people out of their cars\xe2\x80\x99 and build bike lanes, or direct $2b to t\xe2\x80\xa6'",10/29/2019 22:54,0.0,0.0,1.0,0.0
19,1,"RT @thedailybeast: Southern California's Getty fire destroys 12 homes https://t.co/gIYVhA7YcF""",10/29/2019 22:54,0.0,0.429,0.571,-0.7184
20,1,RT @Markfry809: We are witnessing apocalyptic scenes of destruction in California while this disgraceful fucking fraud of a President ignor\xe2\x80\xa6',10/29/2019 22:53,0.0,0.432,0.568,-0.9216
21,1,ICYMI record-setting climate change wind bellows are about to literally fan the flames of a catastrophic fire named\xe2\x80\xa6 https://t.co/nowMAYsNpy',10/29/2019 22:53,0.1,0.245,0.655,-0.5106
22,1,I like how many of my friends that never leave Lincoln heights/Chinatown marked themselves safe in the Getty fire.',10/29/2019 22:53,0.408,0.0,0.592,0.8247
23,0,"RT @RoseAnnDeMoro: Reason #1,398,898,989 to loath the #1%\n\nNo one called them, the 1% fled while they showed up for work.  Invisible class.\xe2\x80\xa6'",10/29/2019 22:53,0.0,0.0,1.0,0.0
24,1,"RT @ABC7: #BREAKING Getty Fire update: 12 homes destroyed, 5 damaged, containment now at 15% as crews prepare for strong Santa Ana winds\nht\xe2\x80\xa6'",10/29/2019 22:53,0.111,0.285,0.604,-0.6369
25,1,"RT @ladailynews: #GettyFire update as of 3:30 pm:\n-Wildfire has grown to 656 acres, 15% contained\n-12 homes destroyed, 5 damaged\n-Officials\xe2\x80\xa6'",10/29/2019 22:53,0.0,0.158,0.842,-0.4939
26,1,"""We have the most significant wind event in Los Angeles of the year that will be starting this evening around 11 o&amp;\xe2\x80\xa6 https://t.co/18pDf0pPC2'",10/29/2019 22:52,0.087,0.0,0.913,0.2716
27,1,"RT @latimes: Officials worry the high Santa Ana winds may blow Getty fire embers miles away from the body of the blaze, igniting fires and\xe2\x80\xa6'",10/29/2019 22:52,0.0,0.187,0.813,-0.6486
28,1,"RT @billmckibben: Is it a metaphor that wildfire is ""licking at the edges"" of the Getty Museum, which houses some of human culture\'s great\xe2\x80\xa6'",10/29/2019 22:52,0.0,0.0,1.0,0.0
29,1,"RT @shelbygrad: THE TRUEST STORY YOU WILL READ ABOUT THE LA FIRE &gt;&gt;&gt;  Housekeepers, gardener in tony Brentwood go to work despite the flame\xe2\x80\xa6'",10/29/2019 22:52,0.126,0.109,0.765,0.128
30,1,"RT @NYTNational: As the weather worsens, the Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire\xe2\x80\xa6'",10/29/2019 22:52,0.0,0.294,0.706,-0.7845
31,1,As of 2:40 pm PT. Yikes and Yikes. Heads up all my California family/friends and just everyone.\nPS  LA Times has te\xe2\x80\xa6 https://t.co/5yAfIKg5RW',10/29/2019 22:52,0.0,0.0,1.0,0.0
32,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight\xc2\xa0\xc2\xa0LAistView full coverage on Google News https://t.co/1azTzxEH83',10/29/2019 22:52,0.0,0.124,0.876,-0.34
33,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight - LAist https://t.co/lfkdw41Uv3',10/29/2019 22:52,0.0,0.156,0.844,-0.34
34,0,\xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx',10/29/2019 22:51,0.31,0.0,0.69,0.2023
35,1,"As wildfire rages, LA's 'fire proof' Getty Museum sees no risk to art #US | #RTGNews""",10/29/2019 22:51,0.0,0.471,0.529,-0.8316
36,1,"""As of early this week the Los Angeles Department of Water and Power, that owns the pole closest to the start of th\xe2\x80\xa6 https://t.co/v0rKk9tTFd'",10/29/2019 22:51,0.0,0.0,1.0,0.0
37,1,RT @LACOFD: READY! SET! GO!\nPreparation and prevention go hand-in-hand.  As we prepare for another Santa Ana wind event and assist LAFD wit\xe2\x80\xa6',10/29/2019 22:51,0.164,0.0,0.836,0.626
38,1,RT @TMZ: John Cena Donating $500k to Help Battle California Fires https://t.co/ARV4buKmBm',10/29/2019 22:51,0.176,0.17,0.654,0.0258
39,1,@GoJax_ @nowthisnews I thought the same but checked current video.  Getty Fire at the 405 and by a school with student evacuation.',10/29/2019 22:50,0.0,0.14,0.86,-0.4767
40,1,"RT @brittny_mejia: A thread: Getty fire: Housekeepers, gardener go to work despite the flames - Los Angeles Times https://t.co/G6UZm8bkdD'",10/29/2019 22:50,0.0,0.13,0.87,-0.34
41,1,RT @Reuters: A fast-moving brush fire that broke out near Los Angeles\xe2\x80\x99 Getty Center museum has grown to consume more than 400 acres in the\xe2\x80\xa6',10/29/2019 22:50,0.0,0.191,0.809,-0.6369
42,1,Newsletter: Fire knows no boundaries - Los Angeles Times https://t.co/Mo4suxnYJA',10/29/2019 22:50,0.0,0.397,0.603,-0.5574
43,0,RT @colinbphoto: Some astounding #StudentJournalism here via @DailyBruin.\nImages by Jintak Han/Daily Bruin. Hoping the best for you all out\xe2\x80\xa6',10/29/2019 22:50,0.38,0.0,0.62,0.8689
44,1,RT @ArchbishopGomez: Grateful for the brave work of the @LAFD in protecting our retired Sisters of St. Joseph of Carondelet in Brentwood du\xe2\x80\xa6',10/29/2019 22:50,0.234,0.0,0.766,0.7506
45,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) | AFP\n\n  https://t.co/loBqqgs9mG',10/29/2019 22:50,0.0,0.297,0.703,-0.6705
46,1,Want to find the proximate cause of the #GettyFire? Feel free to investigate power lines. Want to know why\xe2\x80\xa6 https://t.co/YJlH1Mzoej',10/29/2019 22:50,0.258,0.0,0.742,0.5994
47,1,RT @RamiRobyn: Bless the California State prison inmates fighting the Getty fire and all California wildfires despite the fact that because\xe2\x80\xa6',10/29/2019 22:49,0.1,0.293,0.607,-0.6597
48,1,RT @LAFD: Update #GettyFire #BrushFire; INC#0074; 2:15PM; Sb 405 Fy X Getty Center Dr; https://t.co/33iqXYSlVj; #LosAngeles; As of 2:15PM o\xe2\x80\xa6',10/29/2019 22:49,0.0,0.0,1.0,0.0
49,1,Getty Fire 15% Contained Ahead Of Year\xe2\x80\x99s \xe2\x80\x9cMost Significant Wind Event\xe2\x80\x9d Tonight \xe2\x80\x93 Deadline https://t.co/Cec2o6GKlO',10/29/2019 22:49,0.105,0.14,0.756,-0.1531
50,1,"RT @GreenEnergyNews: On Fire And In The Dark, California Braces For More Dangerous Winds https://t.co/l8wzrzTy4b https://t.co/NBw5cXaWQN'",10/29/2019 22:49,0.0,0.293,0.707,-0.6997
51,1,RT @OurRevolution: Stay Safe in Cali!  We need to address the #ClimateCrisis ASAP. https://t.co/WUdfNpdxlw',10/29/2019 22:49,0.197,0.0,0.803,0.4926
52,1,@LASDBrink @johnandkenshow AGREED!!!!! and Why is Garcetti doing the press conferences for the Getty Fire? We have\xe2\x80\xa6 https://t.co/fgDXf7brsi',10/29/2019 22:49,0.0,0.173,0.827,-0.5526
53,1,"RT @striderraven1: 'Absolutely crazy': Drivers share video of Getty Fire roaring along Los ... https://t.co/ouq6nefEfi via @YouTube""",10/29/2019 22:49,0.124,0.121,0.755,0.0164
54,1,"Millions brace for blackouts, hurricane-force winds as California's Kincade, Getty fires rage https://t.co/6rB9n519ba via @USATODAY""",10/29/2019 22:49,0.0,0.205,0.795,-0.5574
55,1,"Getty Fire grows to 618 acres, burns 8 homes\nhttps://t.co/wXYS5nx4v1\nDRE 01329053'",10/29/2019 22:49,0.0,0.231,0.769,-0.34
56,1,"Fire rages around famous California Getty museum, but priceless art is staying put https://t.co/hP3MiRQ7mj'",10/29/2019 22:49,0.0,0.238,0.762,-0.4118
57,1,"RT @latimes: When she left her house,  Carmen Solano didn't know a brush fire had erupted near the neighborhood where she worked.\n\nWhen she\xe2\x80\xa6""",10/29/2019 22:48,0.088,0.0,0.912,0.2584
58,0,Some astounding #StudentJournalism here via @DailyBruin.\nImages by Jintak Han/Daily Bruin. Hoping the best for you\xe2\x80\xa6 https://t.co/m7GN7Vm8DZ',10/29/2019 22:48,0.43,0.0,0.57,0.8689
59,1,"@worthystyle Thank you Twitter D! Air is a little better today, and winds have been quiet up in Sonoma. My sister d\xe2\x80\xa6 https://t.co/4QggjCYO05'",10/29/2019 22:48,0.213,0.0,0.787,0.6596
60,1,@Q2ndWave IMO the Getty fire started by arsonist at 2 AM on the south lanes of 405 Fwy near Getty museum. Concern a\xe2\x80\xa6 https://t.co/LeGA9otdSp',10/29/2019 22:47,0.0,0.098,0.902,-0.34
61,1,"RT @pdvsa_absurda: Top story: Getty fire: Housekeepers, gardener go to work despite the flames - Los Angeles Times https://t.co/0WSuYuQ8hW,\xe2\x80\xa6'",10/29/2019 22:47,0.089,0.119,0.792,-0.1531
62,1,"As wildfire rages, LA's 'fire proof' Getty Museum sees no risk to\xc2\xa0art https://t.co/9zIUtXvxVN https://t.co/yAqftdQkns""",10/29/2019 22:47,0.0,0.495,0.505,-0.8316
63,1,A fire near the Getty that\xe2\x80\x99s so scary ahhh :((( a beautiful place',10/29/2019 22:47,0.212,0.354,0.434,-0.3851
64,1,"#GettyFire update as of 3:30 pm:\n-Wildfire has grown to 656 acres, 15% contained\n-12 homes destroyed, 5 damaged\n-Of\xe2\x80\xa6 https://t.co/ECdlf0c9nz'",10/29/2019 22:46,0.0,0.167,0.833,-0.4939
65,1,"RT @LAPDHQ: Some fight from the ground. Some fight from the air. Throughout the night, they all fight to make progress on the #GettyFire, a\xe2\x80\xa6'",10/29/2019 22:46,0.089,0.247,0.665,-0.6124
66,1,The LA Getty Fire crisis response page on FB is such a mess lmfao',10/29/2019 22:46,0.163,0.419,0.419,-0.6705
67,1,"RT @erik_kwakkel: How LA's Getty Center built a fire-proof fortress for priceless art - including many important medieval manuscripts. http\xe2\x80\xa6""",10/29/2019 22:46,0.096,0.0,0.904,0.2023
68,1,RT @Davidlaz: The fire coverage from my @latimes colleagues has been exceptional. Now would be a great time to take out a digital subscript\xe2\x80\xa6',10/29/2019 22:46,0.155,0.091,0.755,0.4019
69,1,Getty fire: \xe2\x80\x98Extreme\xe2\x80\x99 warning issued ahead of hurricane-force Santa Ana winds\nhttps://t.co/PgCvwihZG7',10/29/2019 22:46,0.0,0.348,0.652,-0.5859
70,1,"Top story: Getty fire: Housekeepers, gardener go to work despite the flames - Los Angeles Times\xe2\x80\xa6 https://t.co/LKczwEo6SN'",10/29/2019 22:46,0.099,0.132,0.769,-0.1531
71,1,The fire coverage from my @latimes colleagues has been exceptional. Now would be a great time to take out a digital\xe2\x80\xa6 https://t.co/vJDvwQSFlr',10/29/2019 22:46,0.167,0.098,0.735,0.4019
72,1,RT @kingtacopapi: your mcm lives in korea town and marked himself safe from the getty fire',10/29/2019 22:46,0.15,0.124,0.725,0.128
73,1,"RT @LAist: Due to the #GettyFire, Los Angeles' city animal shelters are running out of room for homeless pets and are in urgent need of peo\xe2\x80\xa6""",10/29/2019 22:45,0.067,0.0,0.933,0.2023
74,1,"RT @JoYurcaba: Also wanna add that hotshot wildland firefighters (who are sent to the most dangerous fires in the country, like Getty) aver\xe2\x80\xa6'",10/29/2019 22:45,0.093,0.126,0.781,-0.2247
75,1,RT @knxpete: Getty Fire Brief. Waiting for comments from CA Gov. Gavin Newsom and Mayor Eric Garcetti after flyover and tour of damage from\xe2\x80\xa6',10/29/2019 22:45,0.0,0.203,0.797,-0.6808
76,1,RT @GettyMuseum: How the Getty Center was built to resist fire\xe2\x80\x94and why the safest place for art is inside the museum itself #GettyFire\n\nhtt\xe2\x80\xa6',10/29/2019 22:45,0.109,0.0,0.891,0.4019
77,1,Thousands forced to flee as Getty Fire threatens Los Angeles - ABC News - https://t.co/Ke6fAdDHkw via @ABC',10/29/2019 22:45,0.0,0.4,0.6,-0.7906
78,1,#repost image from #gettyfire yesterday \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 for all updates go to https://t.co/sIwPNPIxf8 https://t.co/HiHlGky290',10/29/2019 22:45,0.0,0.0,1.0,0.0
79,1,Dramatic drive by footage of Getty fire on hills of Los Angeles https://t.co/0NrISDPGX9 via @YouTube\nPlease RT',10/29/2019 22:45,0.0,0.138,0.862,-0.34
80,1,"hurricane force Santa Ana winds in the forecast for LA, be safe, know how to evacuate and to where, check on your v\xe2\x80\xa6 https://t.co/P4hHC9NVxv'",10/29/2019 22:44,0.112,0.0,0.888,0.4404
81,1,"RT @intlibecosoc: ""Extreme"" fire warning issued as Santa Ana winds expected to pick up to 80 mph over next three days #GettyFire #ClimateBr\xe2\x80\xa6'",10/29/2019 22:44,0.0,0.186,0.814,-0.5859
82,1,RT @Solar_Sys_Hbt: Getty Center Safe and Secure after Mass Efforts in Getty Fire https://t.co/crCa18eymr',10/29/2019 22:44,0.283,0.128,0.588,0.4404
83,1,"RT @cliffschoenberg: Cliff Schoenberg marked himself bored during The Getty Fire in Los Angeles, California, USA.'",10/29/2019 22:43,0.0,0.243,0.757,-0.5423
84,1,Arnold Schwarzenegger Appears In Good Spirits After Evacuating His Home Due To Wildfire - The Blast https://t.co/R30ZuhMkS2',10/29/2019 22:43,0.162,0.0,0.838,0.4404
85,1,"Getty Fire, Brentwood, CA ... Cover-up of cause?\nThe now-closed 500-acre Mission Canyon Landfill lies north of the\xe2\x80\xa6 https://t.co/qmJJmJ3RIH'",10/29/2019 22:43,0.0,0.33,0.67,-0.7506
86,1,Why is MSM colluding on a the\nCalifornia Fires.. \nThat utility lines are starting fires??\n\nDo a quick search..\n Its\xe2\x80\xa6 https://t.co/xw7IOAvyMD',10/29/2019 22:43,0.0,0.138,0.862,-0.3736
87,1,"Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/WYIj2V4mh9""",10/29/2019 22:43,0.0,0.324,0.676,-0.5859
88,1,"RT @ABC7: @MayorOfLA @LAFDChief #LIVE @LAFDChief says in the event that other fires erupt, firefighters ""have plans in place and are ready\xe2\x80\xa6'",10/29/2019 22:43,0.0,0.0,1.0,0.0
89,1,"RT @kylegoon: ""It\xe2\x80\x99s just challenging at that hour, getting my family, getting my kids, getting everybody and having to evacuate at such a r\xe2\x80\xa6'",10/29/2019 22:42,0.068,0.0,0.932,0.1531
90,1,"RT @Tyril: Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/heVy6DFplq""",10/29/2019 22:42,0.0,0.286,0.714,-0.5859
91,1,Can California Save Itself From Burning? https://t.co/dv39VuOcyI',10/29/2019 22:42,0.348,0.0,0.652,0.4939
92,1,RT @latimes: The Getty fire broke out along the 405 Freeway near the Getty Center and was spreading to the south and west.\nhttps://t.co/i5Z\xe2\x80\xa6',10/29/2019 22:42,0.045,0.197,0.758,-0.6124
93,1,"LADWP owns the power line that sparked the Getty Fire . Not a peep from the Governor, only DEMONIZING the investor\xe2\x80\xa6 https://t.co/K227464R4f'",10/29/2019 22:42,0.0,0.112,0.888,-0.34
94,1,"As the weather worsens, the Kincade and Getty fires are part of a vicious wildfire season straining the resources o\xe2\x80\xa6 https://t.co/3fLaTYPZZa'",10/29/2019 22:42,0.0,0.317,0.683,-0.7845
95,1,Let\xe2\x80\x99s intend some ease and peace over next 24 hours\xf0\x9f\x8c\x9f https://t.co/ISAmiFAXSQ',10/29/2019 22:42,0.4,0.0,0.6,0.7184
96,1,"RT @KTLA: Power pole at center of 656-acre Getty Fire investigation; evacuees told to ""stay away"" @ericspillman reports https://t.co/AxyIlT\xe2\x80\xa6'",10/29/2019 22:41,0.0,0.118,0.882,-0.34
97,1,"Getty fire: Punishing Santa Ana winds, the strongest of the season, build as blaze grows \n---\nTHERE IS\nNOTHING WRON\xe2\x80\xa6 https://t.co/z2wHiAZMwX'",10/29/2019 22:41,0.116,0.241,0.643,-0.4767
98,1,"As the #KincadeFire continues to ravage Northern California\xe2\x80\x99s Sonoma County, fire crews are bracing for some of the\xe2\x80\xa6 https://t.co/0QyfiEbcKK'",10/29/2019 22:41,0.0,0.118,0.882,-0.34
99,1,"Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/heVy6DFplq""",10/29/2019 22:40,0.0,0.324,0.676,-0.5859
100,1,"Southern California's Getty fire destroys 12 homes https://t.co/gIYVhA7YcF""",10/29/2019 22:40,0.0,0.5,0.5,-0.7184
101,1,"Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/fBzjCOxOIi""",10/29/2019 22:40,0.0,0.324,0.676,-0.5859
102,1,Why the Getty Center Is the Safest Place for Art During a Fire https://t.co/xgVtLoZ4cR',10/29/2019 22:40,0.168,0.149,0.683,0.0772
103,1,Celebrities flee as fast-moving fire ignites near Getty Centre in LA https://t.co/lomhcTh1hP',10/29/2019 22:40,0.0,0.179,0.821,-0.34
104,1,"RT @JimPolk: Millions brace for blackouts, hurricane-force winds as California's Kincade, Getty fires rage https://t.co/5Bx6r6xdIJ via @usa\xe2\x80\xa6""",10/29/2019 22:40,0.0,0.184,0.816,-0.5574
105,1,#gettyfire2019 d \n\nLies and more Lies\n\nhttps://t.co/SEFzOxoWlq',10/29/2019 22:40,0.0,0.0,1.0,0.0
106,1,Getty Center Safe and Secure after Mass Efforts in Getty Fire https://t.co/crCa18eymr',10/29/2019 22:39,0.317,0.144,0.539,0.4404
107,1,Los Angeles crews race to fight Getty fire as it threatens pricey enclaves https://t.co/KoKeSS5BiK via @nbcnews',10/29/2019 22:39,0.0,0.369,0.631,-0.765
108,1,"RT @lexalax: I'm so happy @hildurness was able to stop by the studio and tell us all about creating the music for @jokermovie \n(Also always\xe2\x80\xa6""",10/29/2019 22:39,0.223,0.071,0.706,0.6948
109,1,"Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/FBv85iboC0""",10/29/2019 22:39,0.0,0.324,0.676,-0.5859
110,1,RT @michaeljduarte: Huge brush fire raging off the 405 freeway at Getty Center Dr. #GettyFire https://t.co/S9qth2l54J',10/29/2019 22:39,0.164,0.272,0.563,-0.5106
111,1,Driver On 405 Freeway Films Getty Fire Raging On Hillside https://t.co/gLuU0bhH0y',10/29/2019 22:39,0.08,0.387,0.533,-0.6808
112,1,California #wildfires: unprecedented extreme red flag warning issued for Los Angeles area \xe2\x80\x93 live https://t.co/WkKQv0zeXT',10/29/2019 22:39,0.0,0.146,0.854,-0.34
113,1,"RT @PhaedraPezzullo: When the wealthy forget to tell their employees it's time to evacuate: \xe2\x80\x9cIf they say I have to evacuate, I will,\xe2\x80\x9d he sa\xe2\x80\xa6""",10/29/2019 22:39,0.098,0.075,0.827,0.1531
114,1,California in fire\nEverything is burning by wild \xf0\x9f\x94\xa5\nhttps://t.co/LfHg5EAVtW',10/29/2019 22:38,0.0,0.0,1.0,0.0
115,1,"More than 20 million weary Californians facing ""extreme"" or ""critical"" wildfire risks were monitoring preemptive po\xe2\x80\xa6 https://t.co/bhUZMtKZXj'",10/29/2019 22:38,0.0,0.219,0.781,-0.4939
116,1,@BetteMidler Thank you.  My daughters are (again) way too close to the Getty fire for Mom\xe2\x80\x99s peace of mind. I\xe2\x80\x99m keep\xe2\x80\xa6 https://t.co/nniBDcoHYU',10/29/2019 22:38,0.219,0.088,0.693,0.5574
117,1,"RT @MondaireJones: These stories are devastating. Since yesterday, the California wildfires have spread thousands of acres and forced over\xe2\x80\xa6'",10/29/2019 22:38,0.0,0.3,0.7,-0.8074
118,1,RT @OmarJimenez: What was left behind on a neighborhood stretch of about a block after the Getty Fire ripped through. Winds are expected to\xe2\x80\xa6',10/29/2019 22:37,0.0,0.209,0.791,-0.6486
119,1,"In the bizarre alternate reality in which I could afford to buy a house in Bel-Air, I am marked SAFE in the Getty Fire'",10/29/2019 22:37,0.138,0.178,0.684,-0.0173
