time,text,retweet_count,favorite_count,target
2019-11-01 21:38:55,RT @Christian_lxpez: MARIA FIRE UPDATE ! https://t.co/xto9HfeH7x',239,0,1
2019-11-01 21:38:09,RT @KTLA: The #MariaFire exploded across South Mountain as these big rigs maneuvered past the flames https://t.co/fOGlpgVXbz https://t.co/J\xe2\x80\xa6',514,0,1
2019-11-01 21:37:45,"RT @WCKitchen: UPDATE from the #MariaFire in Ventura County, this time on Santa Paula side. We activated a kitchen to serve evacuees &amp; firs\xe2\x80\xa6'",338,0,1
2019-11-01 21:37:32,"RT @SpecNews1SoCal: UPDATE: More new #MariaFire numbers:\n\n-Just under 9,000 acres burned\n-8,000 residents evacuated\n-2,300 structures threa\xe2\x80\xa6'",26,0,1
2019-11-01 21:37:27,RT @yamphoto: A study in hose action: firefighters work hard to control the spread of the #MariaFire with back burns and flame control. htt\xe2\x80\xa6',192,0,1
2019-11-01 21:36:41,"RT @PDdeplorable: Wow check out how fast this fire started in Ventura, CA\n\nWatch the moment the Maria fire in Ventura County ignited \n\nhttp\xe2\x80\xa6'",1,0,1
2019-11-01 21:36:18,What a difference a day makes... Santa Barbara County went from beautiful blue sky and clean air to unhealthy smoke\xe2\x80\xa6 https://t.co/1o7lhC8lny',0,0,1
2019-11-01 21:35:30,Firefighters work at containing the Maria fire spreading in the hills near Ventu... - @ABC News https://t.co/a7B4LdgmI4',0,0,1
2019-11-01 21:35:15,"New Maria Fire explodes in California: 'The end is not yet in sight' - @ABC News https://t.co/UTZ6wikM5a""",0,0,1
2019-11-01 21:35:12,"Mandatory evacuations were in place Friday for thousands of people due to the #MariaFire, which was burning south o\xe2\x80\xa6 https://t.co/DJ1cpq1IIu'",0,0,1
2019-11-01 21:35:03,"Fast-moving Maria fire in rural Southern California threatens avocado, citrus crops - NBC News https://t.co/k7DA36zdqG'",0,0,1
2019-11-01 21:34:37,"Maria Fire: Blaze near Santa Paula jumps to 9,000, evacuations remain https://t.co/MZ15GyD9sV via @abc7'",0,0,1
2019-11-01 21:34:22,"https://t.co/5CXQoq7WNz has provided this video which shows the Maria wildfire (in Ventura County California), expl\xe2\x80\xa6 https://t.co/6h3gUAvmA5'",0,0,1
2019-11-01 21:34:19,"RT @jftaveira1993: If you want to fly your drone, do it somewhere else. That was the message from Ventura County Sheriff Bill Ayub after he\xe2\x80\xa6'",4,0,1
2019-11-01 21:34:05,"@Jasamsdestiny I highly suggest you search locations on a map before tweeting. Especially since you don't even live\xe2\x80\xa6 https://t.co/s5s36zHV2E""",0,4,1
2019-11-01 21:33:25,"RT @NBCNews: The latest Southern California wildfire has torched nearly 9,000 rural acres and threatens millions of dollars worth of avocad\xe2\x80\xa6'",32,0,1
2019-11-01 21:33:18,"RT @cnnbrk: The Maria Fire breaks out in Ventura County, California, spreading to about 8,000 acres in less than 8 hours https://t.co/DN0lj\xe2\x80\xa6'",242,0,1
2019-11-01 21:32:34,"Fast-moving Maria fire in rural Southern California threatens avocado, citrus crops https://t.co/Yhkr6tLCuf'",0,0,1
2019-11-01 21:32:26,"If you want to fly your drone, do it somewhere else. That was the message from Ventura County Sheriff Bill Ayub aft\xe2\x80\xa6 https://t.co/kT8zcYwXcL'",4,6,1
2019-11-01 21:32:16,"RT @boppinmule: New Maria Fire explodes in California: 'The end is not yet in sight' \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #USA #\xe7\xbe\x8e\xe5\x9b\xbd #CaliforniaFires #mariafire https://t.co/x\xe2\x80\xa6""",1,0,1
2019-11-01 21:32:15,New Post!!! Follow the link provided  World_news Fast-moving Maria fire in rural Southern California threatens avoc\xe2\x80\xa6 https://t.co/wccsrfBks7',0,0,1
2019-11-01 21:32:11,RT @publicintegrity: The Maria Fire is the latest addition to California\xe2\x80\x99s fire season and mandatory evacuations for thousands in the Los A\xe2\x80\xa6',1,0,1
2019-11-01 21:31:04,"RT @CBSLA: Ventura County sheriff says several drones were seen flying over Maria Fire, posing a 'very significant hazard' to firefighting\xe2\x80\xa6""",4,0,1
2019-11-01 21:31:02,"New Maria Fire explodes in California: 'The end is not yet in sight' \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #USA #\xe7\xbe\x8e\xe5\x9b\xbd #CaliforniaFires #mariafire\xe2\x80\xa6 https://t.co/OjZHbarP2G""",1,4,1
2019-11-01 21:30:00,The Maria Fire is the latest addition to California\xe2\x80\x99s fire season and mandatory evacuations for thousands in the Lo\xe2\x80\xa6 https://t.co/VzCRNvFczw',1,0,1
2019-11-01 21:29:59,"RT @Darrin_Peschka: Incredible photos of the #MariaFire from @vcstar journalists @AnthonyInThe805, @GretchenWenner and Juan Carlo. https://\xe2\x80\xa6'",4,0,1
2019-11-01 21:29:51,"RT @nowthisnews: NEWEST CALIFORNIA WILDFIRE: A new brush fire dubbed the 'Maria Fire' started late Thursday and has grown to more than 8,00\xe2\x80\xa6""",84,0,1
2019-11-01 21:28:55,"When the Fires Come hits a bit too hard in Los Angeles\n\n(if you haven't heard about the Maria and Getty fires yet,\xe2\x80\xa6 https://t.co/amWhghFU1v""",0,1,1
2019-11-01 21:28:52,"California wildfires: The Maria fire forces at least 8,000 evacuations https://t.co/rWXdm8VDLZ'",0,0,1
2019-11-01 21:27:30,"Maria Fire: Ventura County Blaze Near Santa Paula Is At 7,500 Acres \xe2\x80\x93 Deadline https://t.co/6UBO3XuY8i'",0,0,1
